2;8;5135676495970648;-1;false
0;23;5135751495359589;5135751530776100;false
3;23;5135751495998209;5135751623530833;false
1;23;5135751495539995;5135751624088223;false
2;9;5135681495899774;-1;false
0;24;5135756495341272;5135756533771686;false
3;24;5135756495936061;5135756541360367;false
1;24;5135756495704344;5135756629281830;false
2;6;5135666496123706;-1;false
2;10;5135686495883001;-1;false
0;25;5135761495348711;5135761529902976;false
1;25;5135761495680909;5135761573074960;false
3;25;5135761495940805;5135761577809209;false
2;11;5135691495837312;-1;false
0;26;5135766495436483;5135766530716139;false
1;26;5135766495577441;5135766578163404;false
3;26;5135766495978554;5135766578790718;false
0;27;5135771495372699;5135771539734696;false
3;27;5135771495937989;5135771568340435;false
1;27;5135771495679725;5135771567847505;false
0;28;5135776495422073;5135776572759020;false
3;28;5135776495954360;5135776578257014;false
1;28;5135776495559009;5135776583016955;false
0;29;5135781495370842;5135781536495066;false
3;29;5135781495895341;5135781586996977;false
1;29;5135781495685944;5135781648786843;false
2;15;5135711495817965;-1;false
0;30;5135786495432997;5135786577191541;false
3;30;5135786496005277;5135786582459987;false
1;30;5135786495580868;5135786629618383;false
2;13;5135701495771631;-1;false
2;12;5135696495905014;-1;false
2;16;5135716495713397;-1;false
0;31;5135791495439117;5135791536293840;false
3;31;5135791495956793;5135791545585315;false
1;31;5135791495557151;5135791676206486;false
2;17;5135721495845602;-1;false
0;32;5135796495428068;5135796585463578;false
3;32;5135796496003156;5135796591397867;false
1;32;5135796495547243;5135796613953662;false
2;14;5135706495848920;-1;false
0;33;5135801495355317;5135801601332292;false
3;33;5135801496034968;5135801607178701;false
1;33;5135801495670838;5135801791992910;false
2;18;5135726495773359;-1;false
1;34;5135806495581281;5135806573625470;false
3;34;5135806495986789;5135806578955359;false
0;34;5135806495429439;5135806633492579;false
2;20;5135736495775819;-1;false
0;35;5135811495426415;5135811545166831;false
3;35;5135811495960642;5135811552933655;false
1;35;5135811495569365;5135811711512142;false
2;19;5135731495787518;-1;false
2;23;5135751495726270;-1;false
0;36;5135816495436839;5135816530266650;false
3;36;5135816496025907;5135816626904155;false
1;36;5135816495585867;5135816629084879;false
0;37;5135821495377629;5135821530976377;false
1;37;5135821495571681;5135821592746402;false
3;37;5135821495946675;5135821597917883;false
1;38;5135826495571469;5135826625168655;false
3;38;5135826495973847;5135826632008572;false
0;38;5135826495420136;5135826673277192;false
3;39;5135831495963039;5135831538336195;false
0;39;5135831495448543;5135831597733809;false
2;21;5135741495818003;-1;false
1;39;5135831495570300;5135833888007432;false
2;22;5135746495828116;-1;false
3;40;5135836495894218;5135836535890727;false
2;24;5135756495779046;-1;false
2;25;5135761495832923;-1;false
1;40;5135836495573762;5135839151475596;false
2;27;5135771495824767;-1;false
1;41;5135841495573190;5135841601419472;false
3;41;5135841495949569;5135841606413931;false
0;41;5135841495451953;5135841684913345;false
1;42;5135846495580228;5135846586579349;false
3;42;5135846495962233;5135846587069721;false
0;42;5135846495435119;5135846677143872;false
2;28;5135776495808283;-1;false
3;43;5135851495982614;5135851590182974;false
0;43;5135851495455696;5135851593492136;false
1;43;5135851495605877;5135851677274086;false
3;44;5135856495960668;5135856549078382;false
1;44;5135856495578580;5135856622042343;false
0;44;5135856495445542;5135856700724387;false
2;26;5135766495687406;-1;false
2;31;5135791495824999;-1;false
3;45;5135861495978032;5135861588283002;false
0;45;5135861495503566;5135861589630410;false
1;45;5135861495656795;5135861624433028;false
2;30;5135786495684620;-1;false
0;46;5135866495432254;5135866536511556;false
3;46;5135866495972535;5135866542509939;false
1;46;5135866495587477;5135866692771926;false
2;29;5135781495724581;-1;false
1;47;5135871495552453;5135871601087625;false
3;47;5135871495957613;5135871606334567;false
0;47;5135871495433858;5135871612487567;false
2;34;5135806495686467;-1;false
0;48;5135876495457883;5135876537043541;false
3;48;5135876495984025;5135876545366795;false
1;48;5135876495609583;5135876756029367;false
2;35;5135811495822114;-1;false
2;36;5135816495689148;-1;false
3;49;5135881495991610;5135881570412259;false
1;49;5135881495658759;5135881593495660;false
0;49;5135881495373498;5135881624105531;false
0;50;5135886495402436;5135886552261030;false
3;50;5135886495925287;5135886559412236;false
1;50;5135886495541407;5135886635207885;false
2;32;5135796495862304;-1;false
0;51;5135891495454063;5135891572706582;false
3;51;5135891495933836;5135891578329501;false
1;51;5135891495563118;5135891583501174;false
2;33;5135801495775501;-1;false
2;37;5135821495815784;-1;false
0;52;5135896495429458;5135896556785973;false
3;52;5135896495978615;5135896562630342;false
1;52;5135896495574277;5135896783417411;false
2;40;5135836495811328;-1;false
1;53;5135901495606648;5135901609978392;false
3;53;5135901495967823;5135901611583625;false
0;53;5135901495458544;5135901694033882;false
2;38;5135826495715470;-1;false
3;54;5135906495980300;5135906647031983;false
0;54;5135906495456814;5135906712690233;false
1;54;5135906495605598;5135906776881375;false
3;55;5135911495904187;5135911562662944;false
1;55;5135911495574484;5135911604382232;false
2;41;5135841495823797;-1;false
0;55;5135911495438055;5135913571195913;false
3;56;5135916495989742;5135916592371356;false
1;56;5135916495688485;5135916591628546;false
0;56;5135916495345514;5135919131187100;false
0;57;5135921495350604;5135921530202569;false
1;57;5135921495685873;5135921573339069;false
3;57;5135921495948459;5135921578639253;false
2;39;5135831495815201;-1;false
3;58;5135926495895697;5135926549754958;false
0;58;5135926495368124;5135926609477523;false
1;58;5135926495622043;5135928873101083;false
3;59;5135931495882336;5135931552021841;false
2;42;5135846495679614;-1;false
2;43;5135851495726595;-1;false
1;59;5135931495659045;5135934202886748;false
2;47;5135871495822021;-1;false
0;59;5135931495372027;5135934372705871;false
0;60;5135936495442668;5135936529875604;false
1;60;5135936495598043;5135936572772601;false
3;60;5135936496055506;5135936577644788;false
2;45;5135861495701639;-1;false
2;46;5135866495688213;-1;false
3;61;5135941495944152;5135941616789614;false
0;61;5135941495423678;5135941665098619;false
2;44;5135856495831311;-1;false
1;61;5135941495571333;5135944507088335;false
0;62;5135946495360671;5135946534516361;false
3;62;5135946495965638;5135946546330897;false
1;62;5135946495663879;5135946583936525;false
3;63;5135951495919814;5135951535762494;false
0;63;5135951495343163;5135951573068215;false
1;63;5135951495673338;5135951806613116;false
0;64;5135956495440769;5135956573088059;false
3;64;5135956495980288;5135956579128616;false
1;64;5135956495577632;5135956643445526;false
1;65;5135961495591515;5135961633040312;false
3;65;5135961495882737;5135961638601284;false
0;65;5135961495271618;5135961716589447;false
2;49;5135881495778890;-1;false
0;66;5135966495445076;5135966537776390;false
3;66;5135966495990888;5135966540257405;false
1;66;5135966495557699;5135966629159280;false
2;50;5135886495826021;-1;false
2;48;5135876495736018;-1;false
0;67;5135971495451741;5135971598461667;false
3;67;5135971495985543;5135971604564646;false
1;67;5135971495583304;5135971639420544;false
2;55;5135911495683391;-1;false
2;52;5135896495690855;-1;false
0;68;5135976495358464;5135976540235501;false
3;68;5135976495968433;5135976546392314;false
1;68;5135976495624704;5135976618396493;false
2;51;5135891495808072;-1;false
0;69;5135981495436329;5135981556073646;false
3;69;5135981495993411;5135981565425558;false
1;69;5135981495590765;5135981747022089;false
2;53;5135901495726917;-1;false
0;70;5135986495386365;5135986633326431;false
3;70;5135986495966145;5135986639573385;false
1;70;5135986495520796;5135986657709336;false
2;56;5135916495720004;-1;false
2;54;5135906495706705;-1;false
0;71;5135991495441470;5135991530219714;false
1;71;5135991495574126;5135991583381913;false
3;71;5135991495889986;5135991585684213;false
2;57;5135921495821557;-1;false
0;72;5135996495435686;5135996537848503;false
3;72;5135996495976571;5135996549325003;false
1;72;5135996495580706;5135996653916723;false
2;60;5135936495728387;-1;false
0;73;5136001495361459;5136001535841593;false
3;73;5136001495941353;5136001608308915;false
1;73;5136001495695457;5136001609982383;false
0;74;5136006495349065;5136006585214151;false
3;74;5136006495989638;5136006591192078;false
1;74;5136006495597336;5136006614197762;false
2;58;5135926495795286;-1;false
0;75;5136011495390794;5136011564830858;false
3;75;5136011496001673;5136011570524000;false
1;75;5136011495680678;5136011717014227;false
0;76;5136016495430442;5136016529680257;false
1;76;5136016495533678;5136016577325474;false
3;76;5136016495937080;5136016578477049;false
2;59;5135931495781909;-1;false
2;61;5135941495827906;-1;false
0;77;5136021495459789;5136021582273773;false
3;77;5136021495956246;5136021590504138;false
1;77;5136021495578565;5136021648031254;false
2;62;5135946495756586;-1;false
0;78;5136026495470523;5136026530092300;false
1;78;5136026495620935;5136026620940331;false
