#server;sizelist;margin;threshold;trust_level;trust_vector;error;mistake_time;error_rate;total_time;pa;td_mean;td_max;date
2001:660:5307:3110::b179;100;1500000000;60;120;TTTT;0;0;0.000000000000000;1795133252383;1.000000000000000;NaN;NaN;04/03/2025 02:42:47.865
2001:660:5307:3110::b179;100;1500000000;60;120;TTTT;0;0;0.000000000000000;3595230833996;1.000000000000000;NaN;NaN;04/03/2025 03:12:47.864
2001:660:5307:3110::b179;100;1500000000;60;120;TTTT;0;0;0.000000000000000;5395088017759;1.000000000000000;NaN;NaN;04/03/2025 03:42:47.865
2001:660:5307:3110::b179;100;1500000000;60;120;TTTT;0;0;0.000000000000000;7195164680883;1.000000000000000;NaN;NaN;04/03/2025 04:12:47.865
2001:660:5307:3110::b179;100;1500000000;60;120;TTTT;0;0;0.000000000000000;8995107529978;1.000000000000000;NaN;NaN;04/03/2025 04:42:47.864
2001:660:5307:3110::b179;100;1500000000;60;120;TTTT;0;0;0.000000000000000;10795202440433;1.000000000000000;NaN;NaN;04/03/2025 05:12:47.864
2001:660:5307:3110::b179;100;1500000000;60;120;TTTT;0;0;0.000000000000000;12595076999602;1.000000000000000;NaN;NaN;04/03/2025 05:42:47.865
2001:660:5307:3110::b179;100;1500000000;60;120;TTTT;0;0;0.000000000000000;14395238212240;1.000000000000000;NaN;NaN;04/03/2025 06:12:47.865
2001:660:5307:3110::b179;100;1500000000;60;120;TTTT;0;0;0.000000000000000;16195399469170;1.000000000000000;NaN;NaN;04/03/2025 06:42:47.864
2001:660:5307:3110::b179;100;1500000000;60;120;TTTT;0;0;0.000000000000000;17995096958645;1.000000000000000;NaN;NaN;04/03/2025 07:12:47.864
2001:660:5307:3110::b179;100;1500000000;60;120;TTTT;0;0;0.000000000000000;19795082089412;1.000000000000000;NaN;NaN;04/03/2025 07:42:47.864
2001:660:5307:3110::b179;100;1500000000;60;120;TTTT;0;0;0.000000000000000;21595131141686;1.000000000000000;NaN;NaN;04/03/2025 08:12:47.864
2001:660:5307:3110::b179;100;1500000000;60;120;TTTT;0;0;0.000000000000000;23395237950070;1.000000000000000;NaN;NaN;04/03/2025 08:42:47.864
2001:660:5307:3110::b179;100;1500000000;60;120;TTTT;0;0;0.000000000000000;25195101618994;1.000000000000000;NaN;NaN;04/03/2025 09:12:47.865
2001:660:5307:3110::b179;100;1500000000;60;120;TTTT;0;0;0.000000000000000;26995038978442;1.000000000000000;NaN;NaN;04/03/2025 09:42:47.864
2001:660:5307:3110::b179;100;1500000000;60;120;TTTT;0;0;0.000000000000000;28795215953789;1.000000000000000;NaN;NaN;04/03/2025 10:12:47.865
2001:660:5307:3110::b179;100;1500000000;60;120;TTTT;0;0;0.000000000000000;30595089432773;1.000000000000000;NaN;NaN;04/03/2025 10:42:47.865
2001:660:5307:3110::b179;100;1500000000;60;120;TTTT;0;0;0.000000000000000;32397250635752;1.000000000000000;NaN;NaN;04/03/2025 11:12:47.864
2001:660:5307:3110::b179;100;1500000000;60;120;TTTT;0;0;0.000000000000000;34195076790246;1.000000000000000;NaN;NaN;04/03/2025 11:42:47.865
2001:660:5307:3110::b179;100;1500000000;60;120;TTTT;0;0;0.000000000000000;35997154576967;1.000000000000000;NaN;NaN;04/03/2025 12:12:47.865
2001:660:5307:3110::b179;100;1500000000;60;120;TTTT;0;0;0.000000000000000;37795090022912;1.000000000000000;NaN;NaN;04/03/2025 12:42:47.864
2001:660:5307:3110::b179;100;1500000000;60;120;TTTT;0;0;0.000000000000000;39595023386352;1.000000000000000;NaN;NaN;04/03/2025 13:12:47.864
2001:660:5307:3110::b179;100;1500000000;60;120;TTTT;0;0;0.000000000000000;41397337543018;1.000000000000000;NaN;NaN;04/03/2025 13:42:47.865
2001:660:5307:3110::b179;100;1500000000;60;120;TTTT;0;0;0.000000000000000;43195053550737;1.000000000000000;NaN;NaN;04/03/2025 14:12:47.864
2001:660:5307:3110::b179;100;1500000000;60;120;TTTT;0;0;0.000000000000000;44995080260957;1.000000000000000;NaN;NaN;04/03/2025 14:42:47.864
2001:660:5307:3110::b179;100;1500000000;60;120;TTTT;0;0;0.000000000000000;46795014667083;1.000000000000000;NaN;NaN;04/03/2025 15:12:47.866
2001:660:5307:3110::b179;100;1500000000;60;120;TTTT;0;0;0.000000000000000;48595144121088;1.000000000000000;NaN;NaN;04/03/2025 15:42:47.864
2001:660:5307:3110::b179;100;1500000000;60;120;TTTT;0;0;0.000000000000000;50395111944735;1.000000000000000;NaN;NaN;04/03/2025 16:12:47.866
2001:660:5307:3110::b179;100;1500000000;60;120;TTTT;0;0;0.000000000000000;52195159387285;1.000000000000000;NaN;NaN;04/03/2025 16:42:47.864
2001:660:5307:3110::b179;100;1500000000;60;120;TTTT;0;0;0.000000000000000;53997523076283;1.000000000000000;NaN;NaN;04/03/2025 17:12:47.865
2001:660:5307:3110::b179;100;1500000000;60;120;TTTT;0;0;0.000000000000000;55795113694760;1.000000000000000;NaN;NaN;04/03/2025 17:42:47.864
2001:660:5307:3110::b179;100;1500000000;60;120;TTTT;0;0;0.000000000000000;57595029212915;1.000000000000000;NaN;NaN;04/03/2025 18:12:47.865
2001:660:5307:3110::b179;100;1500000000;60;120;TTTT;0;0;0.000000000000000;59395082814874;1.000000000000000;NaN;NaN;04/03/2025 18:42:47.864
2001:660:5307:3110::b179;100;1500000000;60;120;TTTT;0;0;0.000000000000000;61195123373038;1.000000000000000;NaN;NaN;04/03/2025 19:12:47.865
2001:660:5307:3110::b179;100;1500000000;60;120;TTTT;0;0;0.000000000000000;62995040200667;1.000000000000000;NaN;NaN;04/03/2025 19:42:47.864
2001:660:5307:3110::b179;100;1500000000;60;120;TTTT;0;0;0.000000000000000;64795074963028;1.000000000000000;NaN;NaN;04/03/2025 20:12:47.864
2001:660:5307:3110::b179;100;1500000000;60;120;TTTT;0;0;0.000000000000000;66595044167623;1.000000000000000;NaN;NaN;04/03/2025 20:42:47.865
2001:660:5307:3110::b179;100;1500000000;60;120;TTTT;0;0;0.000000000000000;68395068756802;1.000000000000000;NaN;NaN;04/03/2025 21:12:47.865
2001:660:5307:3110::b179;100;1500000000;60;120;TTTT;0;0;0.000000000000000;70195078553132;1.000000000000000;NaN;NaN;04/03/2025 21:42:47.865
2001:660:5307:3110::b179;100;1500000000;60;120;TTTT;0;0;0.000000000000000;71995101003239;1.000000000000000;NaN;NaN;04/03/2025 22:12:47.864
2001:660:5307:3110::b179;100;1500000000;60;120;TTTT;0;0;0.000000000000000;73795170305029;1.000000000000000;NaN;NaN;04/03/2025 22:42:47.864
2001:660:5307:3110::b179;100;1500000000;60;120;TTTT;0;0;0.000000000000000;75597619578061;1.000000000000000;NaN;NaN;04/03/2025 23:12:47.865
2001:660:5307:3110::b179;100;1500000000;60;120;TTTT;0;0;0.000000000000000;77395136801608;1.000000000000000;NaN;NaN;04/03/2025 23:42:47.864
2001:660:5307:3110::b179;100;1500000000;60;120;TTTT;0;0;0.000000000000000;79195043268000;1.000000000000000;NaN;NaN;05/03/2025 00:12:47.865
2001:660:5307:3110::b179;100;1500000000;60;120;TTTT;0;0;0.000000000000000;80995024589714;1.000000000000000;NaN;NaN;05/03/2025 00:42:47.865
2001:660:5307:3110::b179;100;1500000000;60;120;TTTT;0;0;0.000000000000000;82795127242785;1.000000000000000;NaN;NaN;05/03/2025 01:12:47.864
2001:660:5307:3110::b179;100;1500000000;60;0;FFFF;1;198916448068;0.000011820762874;84596908903207;0.997648655835693;6572.323179000000000;6572.323179000000000;05/03/2025 01:42:47.865
2001:660:5307:3110::b179;100;1500000000;60;120;TTTT;2;199489312535;0.000023149409408;86395292628361;0.997690970115778;6857.476759500000000;7142.630340000000000;05/03/2025 02:12:47.864
